Date,Ridership
6/24/2024,5265
6/25/2024,5181
6/26/2024,5191
6/27/2024,5136
6/28/2024,5210
6/29/2024,3767
6/30/2024,1589
7/1/2024,5582
7/2/2024,4990
7/3/2024,5491
7/4/2024,0
7/5/2024,4798
7/6/2024,3655
7/7/2024,1699
7/8/2024,5491
7/9/2024,5709
7/10/2024,5430
7/11/2024,4957
7/12/2024,5325
7/13/2024,3884
7/14/2024,1848
7/15/2024,5186
7/16/2024,5267
7/17/2024,5500
7/18/2024,5321
7/19/2024,5345
7/20/2024,4195
7/21/2024,1682
7/22/2024,5236
7/23/2024,5462
7/24/2024,5537
7/25/2024,5230
7/26/2024,5771
7/27/2024,4103
7/28/2024,1723
7/29/2024,5158
7/30/2024,5163
7/31/2024,5470
8/1/2024,5674
8/2/2024,5420
8/3/2024,3618
8/4/2024,841
8/5/2024,4418
8/6/2024,5206
8/7/2024,5639
8/8/2024,5333
8/9/2024,5516
8/10/2024,3963
8/11/2024,1703
8/12/2024,5489
8/13/2024,5740
8/14/2024,5663
8/15/2024,5758
8/16/2024,5831
8/17/2024,4327
8/18/2024,1834
8/19/2024,6086
8/20/2024,5727
8/21/2024,5152
8/22/2024,5634
8/23/2024,5279
8/24/2024,3799
8/25/2024,1754
8/26/2024,5452
8/27/2024,5820
8/28/2024,5273
8/29/2024,5422
8/30/2024,5658
8/31/2024,4034
9/1/2024,1697
9/2/2024,0
9/3/2024,6171
9/4/2024,5734
9/5/2024,5742
9/6/2024,5797
9/7/2024,4100
9/8/2024,1693
